,Unnamed: 0,id,scrape_id,name,description,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,0,2084992,20241221052002,"Nice and cozy apartment in Kreuzberg, Graefekiez","Our cosy two room Apartment (70qm) in a vibrating neighbourhood gives you a perfect base for your stay in Berlin. It is located in a quite street, close to Parks, public transport, the canals and bars. Explore the city with our bikes and feel at home",6302373,Andreas,f,1.0,1.0,t,t,52.48855,13.4148,Entire rental unit,Entire home/apt,2,,1.0,,92,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,11,0,0,5.0,4.91,5.0,4.91,5.0,4.64,4.82,,f,1,1,0,0,0.09
200,200,1050061877849092541,20241221052002,"Modernes, neues Studioappartment in Berlin","Sit back and relax – in this quiet, stylish accommodation in two state-of-the-art rooms in a quiet yet central location in Berlin-Steglitz in the immediate vicinity of the S-Bahn line 25, several buses and the city park.<br />The apartment meets all the requirements for everyday needs and convinces with its high-quality design.",43938328,Stefan,f,3.0,3.0,t,t,52.44727,13.34752,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,92,365,92,92,365,365,92.0,365.0,,t,0,0,0,264,1,1,0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,f,2,2,0,0,0.17
400,400,31049161,20241221052002,Luxus Studio 100,"Our luxury studio offers you an extraordinary stay in Berlin. <br />Enjoy luxurious living quality in a spacious living & dining area with open, fully equipped kitchen with MIELE appliances. <br />The 100 m² apartment has a separate bedroom with built-in closets and TV. <br />The shower room with rain shower. <br />The large living and dining area with couch, sofa bed and dining area, TV and stereo.<br />Enjoy the spacious balcony. <br />A guest toilet with washing machine and dryer.",5891250,Thomas,t,5.0,7.0,t,t,52.53242,13.39441,Entire rental unit,Entire home/apt,2,1.5,1.0,1.0,30,360,7,30,360,360,27.8,360.0,,t,3,7,34,278,8,3,1,5.0,5.0,4.88,5.0,4.88,5.0,5.0,"First name and Last name: Thomas Breidenbach <br/> Contact address: Ackerstraße 29, 10115, Berlin, Deutschland <br/>Listing address: Ackerstr. 29, 10115, Berlin, Deutschland",f,5,5,0,0,0.12
600,600,20562069,20241221052002,:Spacious room with balcony:Kreuzberg:Neukölln:,"Dear guests, our nice shared flat is located in the district of Neukölln. We live in a typical, charming Berlin old house built in the 19th century with high ceilings and beautiful wooden floors and doors. Neukölln is a great urban and multicultural quarter with many cozy cafés and pretty bars. Hasenheide park, former Tempelhof airport and the canal in Kreuzberg are just round the corner as well as various supermarkets, foodmarkets and restaurants with delicious and affordable international food",146852988,Soni,f,1.0,1.0,t,f,52.48229,13.43605,Private room in rental unit,Private room,1,,2.0,,92,1125,92,92,1125,1125,92.0,1125.0,,,0,0,0,0,15,0,0,4.33,4.87,5.0,4.93,4.73,4.6,4.87,,f,1,0,1,0,0.17
800,800,25200262,20241221052002,Spacious room in the heart of Berlin - Ostbahnhof!,"In the heart of berlin, this room is conveniently located in Friedrichshain (1 minute walk from Ostbahnhof station). The room newly renovated, is extremely spacious and quite bright all day long! Its perfect for singles and couples, though can also accommodate a small child on the comfy sofa. The house has all the required amenities, including a washing machine, dishwasher, fridge, iron, etc. I will be hosting you in this house and will happily tend to any of your queries.",9721527,Siddhant,f,2.0,3.0,t,t,52.51457,13.43497,Private room in rental unit,Private room,1,,,,1,1125,1,1,1125,1125,1.0,1125.0,,t,0,0,0,0,49,0,0,4.88,4.96,4.76,4.92,4.92,4.88,4.82,02/Z/AZ/008527-18,f,2,0,2,0,0.61
1000,1000,17127660,20241221052002,Light & cozy living in Neukoelln,"The flat is located in NEUKÖLLN, one of the most popular areas in Berlin! <br />Why? Because it's ideal for so many life styles. For travellers, it's attractive too, because it suits both, the relaxed stay and the wild stay. In the following, I will give you some advice to parks, coffee places, cinemas, clubs and bars, too. But also some hints on where you got your basics from. Whenever you got questions, my lovely flat mates will be staying with you. Or you can just contact me whenever you want to!",7538799,Lina,f,1.0,2.0,t,t,52.47794,13.43215,Private room in rental unit,Private room,2,,,,92,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,3,0,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,t,1,0,1,0,0.03
1200,1200,549918355687730669,20241221052002,Nordberliner Sommerhaus,"Welcome to our summer house in the north of Berlin! Perfect retreat in the garden, close to Alexanderplatz (25 min by tram/subway). Several shopping options and tram stops within walking distance (3 min). Small, detached 70 sqm house with fully equipped kitchen, dining area, bathroom with shower, sauna, and air conditioning (optional for an additional fee), washing machine, garden use with garden furniture, WLAN, and HD television.",83846582,Jacqueline,t,1.0,1.0,t,t,52.60656,13.43132,Entire guesthouse,Entire home/apt,2,1.0,1.0,3.0,3,30,3,3,30,30,3.0,30.0,,t,0,0,0,68,22,22,0,4.95,5.0,5.0,5.0,5.0,4.77,4.95,03/Z/AZ/009159-24,f,1,1,0,0,2.86
1400,1400,1217512218863791600,20241221052002,Lux Central 1BD Terrace Oasis,"Indulge in the convenience of being just a few kilometers away from Berlin's most renowned locations. Explore the historic significance of Checkpoint Charlie, absorb the lively atmosphere at Alexanderplatz, delve into cultural treasures on Museuminsel, and indulge in retail therapy at nearby shopping malls. The allure of Gendarmenmarkt and more awaits just moments from your doorstep.<br />Step into a stylish retreat that seamlessly combines modern elegance with homely comfort.",45221190,Marko,t,4.0,5.0,t,t,52.49769808519826,13.40178697469722,Entire rental unit,Entire home/apt,5,1.0,1.0,4.0,1,365,1,1,1125,1125,1.0,1125.0,,t,17,41,45,45,6,6,0,4.83,4.67,4.67,4.17,4.83,5.0,4.83,02/Z/RA/019222-24,t,4,4,0,0,1.45
1600,1600,40033117,20241221052002,Charming and spacious Berlin alt-bau apartment,"Beautiful alt-bau apartment in northern Prenzlauer berg, full of light, character, space and charm. Equipped with everything you need for a short or long stay in Berlin. Seconds away from Tram and public transport - 15 min to Alexanderplatz and Mitte, within minutes to the restaurants and bars of Prenzlauer berg.",47085194,Matthew,f,1.0,2.0,t,t,52.55541,13.43065,Entire rental unit,Entire home/apt,6,,2.0,,92,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,0,0,0,,,,,,,,,f,1,1,0,0,
1800,1800,24154046,20241221052002,Nice room in a new house near Tier Park,"The room is on the quiet side of the house, with enough space for 2 people. It has a 140cm bed, chairs to sit down and a closet.<br /><br />*** NOTE The house is 40 mins from the city. If you just want to be in the city center please Do Not book!",1185192,Phuong & Martin,t,4.0,8.0,t,t,52.51227,13.52739,Private room in townhouse,Private room,2,1.0,1.0,1.0,1,5,1,1,5,5,1.0,5.0,,t,26,38,40,40,374,76,3,4.76,4.87,4.68,4.89,4.86,4.51,4.71,11/Z/AZ/001799-19,f,2,0,2,0,4.6
